Name,Role,Stats,Awakening1,Awakening2,Awakening3,Speed,Specialty,Description
Queen,DPS,"Atk, Mag, Spi",First Strike,Synergy,Affinity,41,"Ice, Healer, Freeze, Dot Specialist",Blizzard riposte is a physical single target Ice attack with 100% to freeze. Blizzard ROK is a Magic AoE Ice Attack with also 100% to cause Freeze. Her Limit Break Divine Judgement is an AoE Magic Ice attack that has 100% to freeze and heal allies.
Cor,DPS,Atk,First Strike,Physical,Inmortal,40,"Follow up, ATB Booster","Cor will use Moonlight Dawn on the fastest ally, giving it also +10 Speed. Every time that ally acts, he will perform a follow up physical multi hit and boosting their ATB by one fifth. His Limit break Lion Roar is a potent AoE Physical attack that refills the ATB of up to 2 random allies"
Minwu,Healer,"Atk, Spi",Tenacity,High Motion,Spirit March,36,"Revive, Holy","Minwu will always revive a KO ally. if there is none, he will cast Cure on the most hurt ally. His Limit Break Soul of Convergence is a Holy physical Beam that refunds 80% of his ATB"
Kain,DPS,Atk,Physical,Jump Mastery,Break Action,44,"Jump, multi hit, +3 Break","Kain will jump in the air, allowing him to avoid direct damage. His Limit Break Rising Drive is a multi hit high potency physical attack on a single target."
Guy,Tank,Atk,Tough,Physical,Honor,30,"Status Effects, Earth","Opens with Taunt. Has access to Sleep Axe and Petrify Axe, both having 70% to activating the status effect. Very Slow character. His Limit Break Gaiga Rumble is a strong Physical AoE with Earth elemental damage."
Rydia,DPS,"Mag, Spi",Magical,Elemental,Summon Wisdom,41,"Summon, Fire, Ice, Thunder, Earth, Holy, +3 Break","She has access to Ifrit, Shiva, Ramuh and Titan. Her Limit Break, Mist, is a powerful AoE Magic Holy Attack. All her summons use MAG to deal damage. Ifrit and Shiva can cause Dots with 30%"
Faris,Support,Atk,Tempo,Mug,Ancient Lineage,42,"Steal, Fast, ATB Booster",Will steal enemy attacks and use them against them. Her Limit Break Fire Blessing fully refills the ATB of the entire Team. Fast Character
Cyan,Tank,Atk,Physical,Tower,Dome Protector,37,Counter,"Will open with Taunt. Fang is a strong potency single target attack. When he gets attacked, he will respond with Sky on a 70%, also a strong single physical target, makes him lose his turn. His Limit Break, Tempest, is a very high potency multi hit physical attack."
Yuna X2,DPS,"Atk, Mag",Versatility,Keen Eye,Chariot,45,"Stat Selector, multi hit, Fast, +3 Break","Yuna has 2 types of shoots. Power Shot and Magic Shot. She will use one or the other based on whatever stat is higher. Her Limit Break, Trigger Happy, is a very long multi hit string that also uses atk or mag depending on which stat is higher."
Kefka,DPS,"Mag, Spi",Jester Madness,Corruption,Hades,45,"Fire, Ice, Poison, Status Conditions, Dot Enhancer","Kefka has access to Fire, Blizzard, Bio, all being magic attacks. His Limit Break Forsaken is a strong non-elemental AoE Spell that causes a random Dot to apply with 100% Chance. Additionally, increases the Dots a random enemy accumulated by 12%"
Ashe,Support,Mag,Magical,Rampant,Mist Charge,41,"Holy, Thunder, Support, Stat Booster",Northswain Glow is a holy single target Magic attack. Her Limit Break Maelstrom Bolt is an AoE Thunder Spell that also powers up 30% of Atk and Mag of the entire party. Stackable 
Sazh,Support,Atk,Physical,First Strike,Synergist,41,"Haste, Aoe, Fire Enchant","If enemy is weak to fire, will use Enfire, a spell that will make every physical attack from the party to be Fire element (if not elemental), otherwise, will use Blitz, an Aoe physical hit that deals extra damage if only one enemy is present. His Limit Break Hastega+ is a long duration Haste effect on all allies. "
Thancred,Tank,Atk,Rampant,Fury,Physical,32,"Chain Attacks, Counter","Opens with Taunt. Can use Gnashin Fang, which may continue with 60% on to the rest of his combo. His LB, Bloodlust, gives him 4 to 5 bullets, which he can incorporate on his Gnashing Fang Combo as continuations between attacks. Refills 50% ATB and 20% Atk Up. Can Counter 60% with Burst Strike"
Alisaie,DPS,"Atk, Mag, Spi",Versatility,Auto Haste,Crystal Bless,32,"200 IQ, Chain Attacks, Status Conditions, Multielement","Verfire and Verstone has 50% to proc Accelerate, which enables a follow up Verthunder and Veraero respectively. These 2 has 20% to give Dual Cast, which is another follow up to the other element they didn't use before. Her Limit Break Riposte forces Accelerate for another chain."
Gladio,Tank,Atk,Tough,Temperance,True Knight,37,"Counter, Delay, Aoe",Opens up with Taunt. Perform Single target physical hits. His Limit Break Maelstrom is a powerful Aoe physical hit that delay all enemies. He can counter on an 80% chance.
Clive,DPS,"Atk, Spi",Physical,Sacrifice,Branded,40,"Fire, Earth, Aoe","Ignition covers him on Fire to deal physical Fire single target damage with 30% to Burn. Raging fist is an Earth physical single target attack. His Limit Break, Zantetsuken is an AoE Slash physical attack to all enemies."
Delita,Support,"Atk, Mag",Physical,Anti Tank,Twisted Hero,40,"Defense Down, Holy","Unyielding Blade breaks the armor of the enemy, lowering their defense by 30%. His Limit Break Northswain Strike is a Magical Holy single attack."
Orlandeau,DPS,"Atk, Spi",Physical,First Strike,Wound,36,"Haste, Thunder, Ice, Stats Down, Freeze","Opens up with Hastega. Has access to Hallowed Bolt (Thunder AoE), Unyielding Blade (Def down 30%) and Crushing Blade (Atk and Mag 20% Down) His Limit Break Judgement Blade, is an AoE Ice Attack with 100% to Freeze."
Emperor,DPS,"Mag, Spi",Tenderless,Hades,Smirk,43,"Burn, Poison, Sleep","Has access to Red Soul, 100% Burn Spell, Dreary Cell, 100% to Poison. His Limit Break Starfall is an AoE Meteor from the sky that will Sleep enemies with 100% chance."
Gilgamesh,DPS,"Atk, Mag, Spi",Synergy,Charge,Darkness,44,Season 2 Master,Has access to all the attacks and limit breaks from all characters of Season 2
Matoya,Support,Mag,First Strike,High Motion,Magical,38,"Magic Up, Thunder, Thunder Enchant","If enemy is weak to thunder, will use Enthunder, a spell that will make every physical attack from the party to be Thunder element (if not elemental). Otherwise, she will cast Charge, a self Mag 30% up. Her Limit Break, Thundaja, is a powerful AoE Thunder spell"
Yunalesca,DPS,"Mag, Spi",Tenderless,Hades,Manaburn,38,"Poison, Petrify","Can use Hellbiter, has a 100% to Poison the target. Her Limit Break Megadeath is an AoE Spell with 100% to Poison every enemy, and also Petrify them"
Gordon,DPS,"Atk, Mag",Petrify,Versatility,Rebellion,38,Petrify,Raging Spear is a single target physical attack. His Limit Break Break XVI is potent Spell that hits in AoE that also petrifies 100% of the time.
Cloud AC,DPS,Atk,Keen Eye,Physical,Cleanse,38,"Aoe, multi hit",Blade Beam is a single target attack that splashes on to more enemies if there is. Increased potency if only one enemy. His Limit Break Meteorain is a single target Multi-hit strong physical attack.
Ingus,Tank,Atk,Tough,High Motion,Tower,32,"Counter, ATB Booster","Opens up with Taunt. Can Perform Double Slashes, physical single target multi hit. Can counter with 50% Chance. His Limit break, Charge! fully refills the ATB of every ally"
Shantotto,DPS,"Mag, Spi",Magical,Quick Think,Darkness,31,"Poison, Multicast, +3 Break","Has access to Bio, Magic spell with 30% to Poison. Her Limit Break Chainspell, will allow her to cast Bio 2-3 times in a row. "
Fran,DPS,Mag,Magical,Piracy,Mist Charge,37,"Chain Attacks, Hour, +3 Break","Has access to her Quickenings Feral Strike, Whip Kick and Maelstrom Bolt. Each has 30% to chain up on to another quickening. They all use Magic Stat. Her Limit Break Horology deals potency based on the hour of the day (The minutes) in AoE"
Hope,Healer,"Mag, Spi",Tenderness,Bodytemp,Medic,29,"Healer, Low Hp","Has access to Medic Cura, an AoE Curative spell. Heals slightly extra if the ally is low HP. His Limit break Last Resort is a single target Magic Attack that refunds 80% of his ATB"
Edea Matron,DPS,"Mag, Spi",Magical,Stunning,Maternal,29,"Ice, Fire, Paralysis, Conditional Damage, Freeze, Burn",Ice Strike is a single target spell with Ice element with 30% to Paralyze and 30% to freeze. Double damage is Enemy is already paralyzed. Her Limit Break Fire Storm is an AoE powerful Fire Spell with 100% to Burn.
Garnet Summoner,DPS,"Mag, Spi",Magical,Boost,Crystal Bless,41,"Summon, Fire, Ice, Thunder, Burn, Freeze","Can Summon Ifrit (30% Burn), Shiva (30% Freeze), and Ramuh. Her Limit Break Allows her to summon Ark, a powerful non-elemental Aoe Magic Hit. All her summons use her Magic Stat "
Ignis,DPS,"Atk, Spi",Tenacity,Elemental,True Retainer,40,"Weakness Target, Healer, Jump","He can detect if the target is weak to Thunder, Fire or Ice, and swap his bind daggers to that element. If not weakness is detected, he will cook a quick recipe healing a hurt ally. His Limit Break, High Jump, is a powerful Jump Attack. Firebind is multi hit. Frostbind is Aoe, is powerful single"
Cod,DPS,"Atk, Mag",Synergy,High Tide,Darkness,36,"Status Effect, Thunder","Can use Bad Breath, has 70% to petrify all enemies. Can use Lighting, an AoE Thunder physical attack. Her Limit Break particle Beam is an AoE Spell that causes non-elemental damage. Charges up fast."
Tifa Dress,DPS,Atk,Affinity,Cleanse,Safety,46,"Limit Break Specialist, Water, Chain Attacks","She will charge up her STR with Battle Cry by x1.1. She gains Limit Break after a single turn, with it, she can make a combination from 2 to 4 attacks in a row in this order: Beat Rush, Somersault, Water Kick, Dolphin Blow"
Alphinaud,Healer,"Mag, Spi",Tenderness,Ingenious,Tempo,36,"Healer, AoE",Dosis is a magical single target attack that also heals a hurt ally at the same time. His Limit Break Techne Makre is a very powerful AoE Curative spell to all allies.
Shadow,Tank,Atk,Evasion,Inmortal,Assassin,48,"Counter, Fast, Dog","Will open with Taunt.  Charges ATB really fast. Opens up with Taunt. When attacked, has 50% to respond with Interceptor. Can Throw Shurikens for single target damage and perform multihits with Double Slash. His Limit Break, Shadow Fang is a strong multi hit physical attack."
Torgal,Support,Atk,First Strike,Tempo,High Tide,48,"Shield, Fast, LB Booster, Adorable","Will use x3 Shield on Tanks. Can Use Sic, a multi hit Physical attack. His Limit Break, Fenrir's Moonlight, will completely charge the Limit Break of everyone in the party. You must pet the dog."
Isaaru,DPS,Atk,Physical,High Tide,Critical,34,"Summon, Physical Summons, One","Isasaru can Summon Yojimbo. Daigoro may petrify on 30% while dealing physical damage. Kozuka is a Multi-hit physical attack. His Limit Break, Wakizashi, is a powerful AoE Physical attack. Has 5% to Become Zanmato, instantly defeating all enemies."
Leon,DPS,"Atk, Mag",Versatility,Tempo,Energetic,41,"Dark, Self","Has access to Dark Slash, a High potency single target hit that sacrifices 15% of his HP for the increased damage. His Limit Break: Dark Stream, is a Magical Dark attack in AoE that sacrifices 15% of his HP for increased damage."
Yshtola,DPS,"Mag, Spi",Magical,MP Pool,Opener,36,"Fire, Ice, Multicast, AoE, Freeze, Burn","Starts with +2 Shield Charges. If there is only one enemy alive, she will use Blizzard IV, Magical Hit with 30% to Freeze. If more than one enemy, she will use Fire II, Aoe Magical  hit with 30% To burn. Her Limit Break Triple Cast will make her cast 3 Times."
Basch,Tank,Atk,Tough,Loyal,Area Control,30,"Fire, Dark, Multi",Opens With Taunt. All his attacks have 30% to make him act again.Fulminating Darkness a single Phy Hit. Dark element.  Ruin Impediment is a Single Phy Non Elemental. Flame Purge is a single Phy Fire Hit. Has no LB. Can use poach to Finish up an enemy at 30% HP left.
Estinien,DPS,Atk,Physical,Fury,Power Soul,39,"Jump, AoE","Can Jump in the air to avoid damage, and cause a single target Physical hit on his descent. His LB, Starcross, is an AoE Physical hit of high potency."
Cid 4,Tank,Atk,Tough,Courage,Hot And Col,35,"Sleep, Petrify, multi hit","Opens with Taunt. Has access to Sleep Axe and Petrify Axe, both having 70% to activating the status effect.  His LB is Enterprise Fire Support. A high potency multi hit on a single target."
Rubicante,DPS,Mag,Cleanse,Area Control,Acceptance,30,"Ruby Weapon hates him. Fire, Fire Resist, AoE, Resurrect, ATB Boost","Resist Fire. Can use Inferno, an AoE Fire Magic that deals 50% more damage to Frozen enemies.  When Rubicante is under 50% HP, he will cast Cure on Himself. His Limit Break Resurrection March, will revive everyone in Aoe, and additionally, give 3 random allies Full ATB. "
Prompto,DPS,Atk,Physical,Critical,Kind Soul,51,"Fast, multi hit","Has access to Gunshot, a multi hit physical attack. His Limit Break, Rapidus SMG, is 10-hit Single target high potency attack. These will act as Single Target instead of Multihits and proc Single Target bonuses."
Ovelia,Healer,"Mag, Spi",Tenderness,Time Limit,Divine Prayer,33,"Healing, AoE, Holy","Can use Aegis, an AoE Healing Spell that additionally gives +1 Shield to 8 random allies. Her Limit Break, Holy, is an AoE Porwerful Holy Magical attack. Refunds 80% of her ATB"
Porom,Healer,Spi,Spiritual,Comeback,Mature Twin,41,"Resurrect, Healing, AoE, Offensive Down","If a party member is K.O'd, she will cast Life to revive it. If not, she will cast Curaja, an Aoe Medium potency Healing spell. Her Limit Break, Cry, will lower the Atk and Mag of  one enemy by 10%, refunds 80% of her ATB"
Vanille,Support,Mag,Tempo,High Motion,Saboteur,36,"Offensive Down, Slow, One","Can use Defang, a 10% Decrease on an enemy of Atk and Mag, with a 30% to Act again right away. Can Also use Slow, reduces the base speed of the enemy by 7 with 25% to act again. Her Limit Break, Death, is a high potency Single Target Magical Hit with 5% to One-shot the Target."
Palom,DPS,"Mag, Spi",Magical,Magic Tune,Mischievous Twin,41,"All Elements, Buff Self","Has access to Fire, Blizzard, Thunder, Aero, Bio and Water Spells. His Limit Break, Bluff, will increase his Mag stat by 30%, and allow him to act right away again."
Desch,DPS,Atk,Physical ,Professional,Drain,42,"Thunder, Paralysis, Increased potency on paralysis","Can use Thunderclap, a Thunder Physical hit that deals 40% more damage to paralyzed foes. His Limit Break: Electric Floor, is an AoE skill that paralyzes all enemies, and allows him to act again right away."
Dark Invoker,DPS,"Mag, Spi",Magical,Dark Bow,Death Embrace,39,"Summon, Multi","All his Attacks are Mag - Has access to Dark Energy Ray (AoE, Dark) Mega Flare (AoE, Dark) Meteor Strike (Single, Fire), Aero Spark (Single Thunder) Heavenly Strike (Single, Ice) His Limit break, Delta attack, is an AoE Dark Elemental spell."
Seymour Omnis,DPS,"Mag, Spi",Magical,Elemental,Magic Tune,34,Multi,"Can cast Fire, Blizzard, Thunder or Water at slightly lower potency. If enemy is is weak of any of those, will use the right element. His Limit Break, Quadra cast, will use a Random spell 4 times in a row"
Pupu,Healer,Spi,Spiritual,Divine Prayer,Area Control,41,"Heal, Buff","Pupu will ask for an Elixir (Medium potency Aoe Heal). With his Limit Break, will thank for the elixir with a small potency AoE heal, and 10% Atk, Mag and Spi to the party."
Mog,DPS,"Atk, Spi",Nature,Gospel,Weather Mastery,38,"Preference, Weather, Fire, Healing","His kit changes depending on your !preference. Atk will use Raging Spear (Single, Phy). Mag will use Fire II (Fire, spell, Aoe, 30% Burn), Spi will use Love Serenade (Aoe Heal), hp/none result on a Phy Hit. LB is Dance, changes weather based on preference. Atk Sunny, Mag Snow, Spi/Hp Rain"
Galuf,Tank,Atk,Tough,Loyal,Gospel,36,"Counter, Self Buff","Opens up with Taunt, Galuf can do a combination of 10-Hit on random enemies. 70% to Counter with a physical hit. His Limit Break, Focus, is a self Atk up by 30%"
Tellah,DPS,"Mag, Spi",Magical,Magic Mastery,Final Spell,34,Multi,"Can cast Fire, Thunder, Blizzard and Bio. His Limit Break, Meteor, is a really high potency Magical hit in Aoe, that sets his own HP to 1"
Relm,DPS,"Atk, Mag, Spi",Synergy,Wisdom,Healthy,40,"Copy Enemy skills, One","Relm can use Sketch, a skill that allows her to make a copy of the enemy, and use one of their attacks against him. Can copy most Abilities. Her Limit Break Star Prism, is a powerful Single target magic spell with 5% to One-Shot the target."
Squall Space,Tank,"Atk, Spi",Tough,Rampant,Loyal,32,"Chain Attacks, Counter, Self","Open up with Taunt. Can use his Gunblade, a Physical single target hit. When he gets attacked, has a chance of 20% to use Auto-Potion. His Limit Break Renzokuken is a 5-6 multi hit attack, 25% chance to follow up with Rough Divide"
Rikku X2,DPS,Atk,Break Action,Charge,Relentless,44,"Fast, Paralysis","Can use Quick-Hit, a low potency physical hit that refunds half of her ATB. Her Limit Break, Steal-Time, is a 100% Paralysis skill that deals no damage, but refunds 80% of her ATB back."
Penelo,Support,Mag,Magical ,Supportive,Mist Sanctum,39,"Shields, Chain","Penelo can use Intercession and Evanescence, Single target Magic spells with 30% to combo and make her act again. Her Limit Break requires Boosting from other characters: Resplendence, it's a tremendous High potency Aoe spell that gives +3 Shields to all party members."
Fang,DPS,Atk,Physical,Drain,Commando,33,Jumping,"Can deal Physician single target Hits. Her Limit Break, Highwind, is a jumping ability that deals high physical Damage."
Auron Young,Tank,Atk,Tough,Bodytemp,Fury,31,"AoE, Delay, Counter","Opens with Taunt. Armor Break: Reduces the DEF of the enemy by x0.8. His Limit Break: Dragon Fang, is an AoE Physical attack that reduces the ATB.Slow Charge. Can counter with 70% chance"
Beatrix Beach,DPS,"Atk, Spi",Delay,Physical,Battle Cry,33,"Healer, AoE, Secret Limit Break","Shock: Physical Single target. Climhazzard: Physical Single Target. Has access to Cure. Her Limit Break, Roses of May is a tremendous Physical AoE Attack that also heals the party. Can only be activated with the help of Supports like Aerith, Zack, Etc."
Cloud Dress,DPS,Atk,Critical,Physical,Paralysis,36,Paralysis,"Can use Cross Slash: physical single target with 50% chance to stop the enemy for a few seconds.. His Limit Break: Climhazzard, is a powerful Physical Single target attack."
Celes Opera,DPS,"Mag, Spi",First Strike,Mystic,Runic Mastery,38,"Runic, Holy Target Weakness, Ice","Every turn, she will raise a Runic stance, when an enemy cast a single target magical hit, she will redirect it to herself, and block the damage, once. If a Runic is already up, and the enemy is weak to holy, it will use Holy. Otherwise, she will use Blizzard. Her LB is Ultima, powerful AoE Spell."
Tifa Ac,DPS,Atk,Battle Cry,Physical,Critical,46,"Limit Break Specialist, Water, Chain Attacks","She will charge up her STR with Battle Cry by x1.1. She gains Limit Break after a single turn, with it, she can make a combination from 2 to 4 attacks in a row in this order: Beat Rush, Somersault, Water Kick, Dolphin Blow"
Ozma,Tank,,Tenderless,Fury,Mystic,41,,"Opens with Taunt. Can use Curse (AoE) - Reduces Atk and Mag of all enemies by 15%, without causing damage. Can cast Meteor, a Magical Aoe Hit non-elemental. His Limit Break, Doomsday, is a powerful Aoe Magical hit, also non elemental. Can counteri with Curaga with 20% Chance."
Cid Randell,Tank,Atk,Physical,Evasion,Stone Breaker,36,"Drain, Petrify","Opens up with Taunt. Uses Judsword, a physical hit single target that drains 50% of the damage dealt. His Limit Break, Red Card, Petrifies all the enemies, and allows him to act again."
Chocobo,Healer,Spi,Spiritual,Loyal Companion,Refined Beak,31,,"Can cast Choco Cure. His Limit Break, Chocobo Heal, is an AoE powerful Heal"
Chocobo Red,DPS,,Physical,Angry Companion,Swift Talon,40,,"Can use Choco Kick, a physical single target hit. Her Limit break, Chocobo Meteor, is a powerful AoE physical hit."
Chocobo Black,Tank,,Tough,Reliable Companion,Mighty Feathers,39,,"Opens up with Taunt. Can use Choco Kick, a physical single target hit. His Limit Break, Chocobo Star, is an Aoe physical hit that will drain as HP half of the damage caused."
Ghido,Tank,Mag,Mist Sanctum,Rampant,Shield Mastery,39,"Shield, Water","Opens up with Taunt. Can use Water Magic spell, single target. His Limit Break, Torrent, is a powerful Aoe Water Magical hit that gives 1 Shield to the entire party."
Babus,Tank,"Mag, Spi",Aspir,Quick Think,Final Spell,35,"Fire, Slow, AoE, Counter, Burn","Opens up with Taunt. Can use Stillness, an AoE Magical hit that reduces the Speed of every boss by flat 2. His Limit Break, Explode, is a powerful AoE Fire elemental Magical hit with 30% to Burn. Can counter with Runic Counter, a Magical single target hit. on 50% chance."
Metuba,Support,Mag,Magical,High Tide,Aspir,36,"For fun, Buff","Can play the Tuba with qwerty keyboard keys if streamer feels particularly inspired. Can use Bass Blast, an Aoe Non-Elemental Aoe Magic spell. His LB, Symphony of the Night, is a Magical Spell that boost Atk and Mag of the party by 30%"
Vegeta,DPS,Atk,Physical,Darkness,High Tide,40,"For fun, Hates UI","Can use Ki-Blast, a Multi-hit Physical attack. Big Bang, a big energy Aoe Physical Attack. His Limit Break, Final Flash, is a powerful Aoe Physical attack that occasionally destroy parts of the UI - Changes hair color to Blonde"
Silenrea,DPS,"Atk, Mag, Spi",Versatility,High Tide,Paralysis,40,"Fire, Thunder, Paralysis, Self","Can use Fire, Thunder, Fire Breath. Their LB, Zorgoia transformation, transforms them on to a giant Zorgoian. Gains access to Darting Barb, a 30% paralyzing physical hit, Lancet, a physical hit that absorbs 50% of the damage caused, and Unrelenting Assault, a Multi-Hit physical attack. The Limit Break becomes Just a Taste, is a single target physical hit low potency with 100% chance to paralyze that has 2% of One-Shot most enemies. Makes it return to normal form."
Solanin,Support,"Mag, Spi,",Tempo,Synergy,Affinity,40,"Revive, Haste, Speed up, Freeze, Shield","If a party member is KOd, it will cast life. Otherwise, can use ""Let me Hear you!"", an Aoe Healing Spell. ""Try to keep up, now!"", boosts the speed of all party members by 5 (80 max), or ""Well if it isn't the VIP..."" a Magic spell with very low potency that Freezes 100%, and gives one shield to every party member. His Limit Break, ""What a Great Audience!"" is a low potency heal that hastes all party members for a short duration"
Margy,DPS,Atk,Physical,First Strike,Battle Cry,41,Multi,"Can use Slice, a Single target Physical hit, Harvest Moon, a small potency AoE physical that sets one shield to herself, And Hell Ingress, a multi-Hit physical attack. Her LB, Perfectio, is an Aoe Physical hit."
Shana,Support,"Mag, Spi",First Strike,Tenderness,Cleanse,32,"Shields, Buffs, Revival, AoE","Draws one of 3 cards at random. Will keep a set rotation after that: The Balance (10% Party Atk up), The Spear (10% Mag Up), The Arrow (10% Spi up). Each Card also gives 4 Shields to the party (5 The Balance) While healing 15% HP to the party. Her Limit Break becomes Astral Stasis if a party member is KO, fully revives it (only 1), gives 11 shields to the party, and refunds 50% ATB. If no party members are KOd, will use Macrocosmos, a low potency non elemental magical hit that gives 1 LB to 5 party members, and heals the party."
Dangerniel,Tank,Atk,Tough,Thunder Action,Commando,30,"Thunder, Counter, Paralysis, Defense Down","Opens up with Taunt. Can use Thunderslash, a Thunder elemental single target physical hit with 50% to paralyze. His Limit Break, Spark field, is a Medium potency Thunder AoE Physical hit that reduces the defense of all bosses by 30%. Can counter attack with 50% chance with a physical thunder hit."
Esquie,Tank,"Atk, Mag",Tough,Divine Favor,Buddy Bond,34,"Offensive up, Support, Limit Break Specialist","Opens up with Taunt. Can use Smash, a single target physical hit. His Limit Break, Lightholder, is a Magical AoE Spell that boosts the Atk and Mag of the entire party by 30% "